,Disease,symptoms_1,symptoms_2,symptoms_3,symptoms_4
0,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
2,Disease,itching, nodal_skin_eruptions, dischromic _patches,
3,Disease,itching, skin_rash, dischromic _patches,
4,Disease,itching, skin_rash, nodal_skin_eruptions,
5,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
6,Disease,itching, nodal_skin_eruptions, dischromic _patches,
7,Disease,itching, skin_rash, dischromic _patches,
8,Disease,itching, skin_rash, nodal_skin_eruptions,
9,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
10,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
11,Disease, shivering, chills, watering_from_eyes,
12,Disease, continuous_sneezing, chills, watering_from_eyes,
13,Disease, continuous_sneezing, shivering, watering_from_eyes,
14,Disease, continuous_sneezing, shivering, chills,
15,Disease, shivering, chills, watering_from_eyes,
16,Disease, continuous_sneezing, chills, watering_from_eyes,
17,Disease, continuous_sneezing, shivering, watering_from_eyes,
18,Disease, continuous_sneezing, shivering, chills,
19,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
20,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
21,Disease, stomach_pain, ulcers_on_tongue, vomiting, cough
22,Disease, stomach_pain, acidity, vomiting, cough
23,Disease, stomach_pain, acidity, ulcers_on_tongue, cough
24,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
25,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
26,Disease, acidity, ulcers_on_tongue, vomiting, cough
27,Disease, stomach_pain, ulcers_on_tongue, vomiting, cough
28,Disease, stomach_pain, acidity, vomiting, cough
29,Disease, stomach_pain, acidity, ulcers_on_tongue, cough
30,Disease,itching, vomiting, yellowish_skin, nausea
31,Disease, vomiting, yellowish_skin, nausea, loss_of_appetite
32,Disease,itching, yellowish_skin, nausea, loss_of_appetite
33,Disease,itching, vomiting, nausea, loss_of_appetite
34,Disease,itching, vomiting, yellowish_skin, loss_of_appetite
35,Disease,itching, vomiting, yellowish_skin, nausea
36,Disease,itching, vomiting, yellowish_skin, nausea
37,Disease,itching, vomiting, yellowish_skin, nausea
38,Disease,itching, vomiting, yellowish_skin, nausea
39,Disease,itching, vomiting, yellowish_skin, nausea
40,Disease,itching, skin_rash, stomach_pain, burning_micturition
41,Disease,itching, stomach_pain, burning_micturition, spotting_ urination
42,Disease,itching, skin_rash, burning_micturition, spotting_ urination
43,Disease,itching, skin_rash, stomach_pain, spotting_ urination
44,Disease,itching, skin_rash, stomach_pain, burning_micturition
45,Disease, skin_rash, stomach_pain, burning_micturition, spotting_ urination
46,Disease,itching, stomach_pain, burning_micturition, spotting_ urination
47,Disease,itching, skin_rash, burning_micturition, spotting_ urination
48,Disease,itching, skin_rash, stomach_pain, spotting_ urination
49,Disease,itching, skin_rash, stomach_pain, burning_micturition
50,Disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
51,Disease, vomiting, indigestion, abdominal_pain, passage_of_gases
52,Disease, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
53,Disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
54,Disease, vomiting, indigestion, abdominal_pain, passage_of_gases
55,Disease, vomiting, indigestion, loss_of_appetite, passage_of_gases
56,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
57,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
58,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
59,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
60,Disease, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
61,Disease, patches_in_throat, high_fever, extra_marital_contacts,
62,Disease, muscle_wasting, high_fever, extra_marital_contacts,
63,Disease, muscle_wasting, patches_in_throat, extra_marital_contacts,
64,Disease, muscle_wasting, patches_in_throat, high_fever,
65,Disease, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
66,Disease, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
67,Disease, patches_in_throat, high_fever, extra_marital_contacts,
68,Disease, muscle_wasting, high_fever, extra_marital_contacts,
69,Disease, muscle_wasting, patches_in_throat, high_fever,
70,Disease, fatigue, weight_loss, restlessness, lethargy
71,Disease, fatigue, weight_loss, restlessness, lethargy
72,Disease, weight_loss, restlessness, lethargy, irregular_sugar_level
73,Disease, fatigue, restlessness, lethargy, irregular_sugar_level
74,Disease, fatigue, weight_loss, lethargy, irregular_sugar_level
75,Disease, fatigue, weight_loss, restlessness, irregular_sugar_level
